ORF_ID	ARO	Database	Cut_Off	Drugs	Drug Classes	Original Drug Classes
AJ312056.2.gene1.p01|FEATURES|cat_chloramphenicol_acetyltransferase|phenicol|cat_chloramphenicol_acetyltransferase	3004455	deeparg	Strict	['chloramphenicol']	['phenicol antibiotic']	phenicol
gi:585350004:ref:WP_024231618.1:|FEATURES|TolC|multidrug|TolC	3000237	deeparg	Strict	['erythromycin', 'cloxacillin', 'gentamicin C', 'tigecycline', 'cephalosporin', 'ciprofloxacin', 'spectinomycin', 'streptomycin', 'tetracycline', 'tobramycin', 'oxacillin', 'ceftazidime', 'ertapenem', 'piperacillin', 'penicillin beta-lactam', 'novobiocin', 'azithromycin', 'rifampin', 'imipenem', 'chloramphenicol', 'polymyxin B1', 'polymyxin B2', 'polymyxin B3', 'polymyxin B4', 'ampicillin', 'nalidixic acid', 'norfloxacin', 'cefalotin', 'triclosan', 'ticarcillin']	['macrolide antibiotic', 'macrolide antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'tetracycline antibiotic', 'tetracycline antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'aminocoumarin antibiotic', 'rifamycin antibiotic', 'phenicol antibiotic', 'disinfecting agents and antiseptics']	multidrug
JE0138|FEATURES|aac(3)-II|aminoglycoside|aac(3)-II	3002535	deeparg	Strict	"['dibekacin', 'sisomicin', 'netilmicin', 'tobramycin', ""6'-N-ethylnetilmicin"", ""2'-N-ethylnetilmicin"", 'gentamicin']"	['aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic']	aminoglycoside
gi:942448824:ref:WP_055314246.1:|FEATURES|mexH|multidrug|mexH	3000807	deeparg	Strict	['acriflavine', 'tetracycline', 'norfloxacin']	['fluoroquinolone antibiotic', 'tetracycline antibiotic', 'disinfecting agents and antiseptics']	multidrug
YP_002937728|FEATURES|bacA|bacitracin|bacA	3002986	deeparg	Loose	['bacitracin A', 'bacitracin B', 'bacitracin F']	['peptide antibiotic', 'peptide antibiotic', 'peptide antibiotic']	bacitracin
gi:489200414:ref:WP_003109635.1:|FEATURES|tetR|tetracycline|tetR	3000818	deeparg	Strict	['erythromycin', 'cephalosporin', 'ciprofloxacin', 'tetracycline', 'ceftazidime', 'ceftriaxone', 'meropenem', 'penicillin beta-lactam', 'novobiocin', 'azithromycin', 'trimethoprim', 'chloramphenicol', 'aztreonam', 'colistin A', 'colistin B', 'ampicillin', 'panipenem', 'trimethoprim-sulfamethoxazole']	['macrolide antibiotic', 'macrolide antibiotic', 'fluoroquinolone antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'tetracycline antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'aminocoumarin antibiotic', 'diaminopyrimidine antibiotic', 'diaminopyrimidine antibiotic', 'sulfonamide antibiotic', 'phenicol antibiotic']	tetracycline
gi:560398734:ref:WP_023622078.1:|FEATURES|sdiA|unclassified|sdiA	3000826	deeparg	Loose	['tigecycline', 'tetracycline', 'rifampin', 'chloramphenicol', 'ampicillin', 'cefalotin', 'triclosan']	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'tetracycline antibiotic', 'tetracycline antibiotic', 'rifamycin antibiotic', 'phenicol antibiotic', 'disinfecting agents and antiseptics']	unclassified
gi:507086744:ref:WP_016157485.1:|FEATURES|TolC|multidrug|TolC	3000237	deeparg	Loose	['erythromycin', 'cloxacillin', 'gentamicin C', 'tigecycline', 'cephalosporin', 'ciprofloxacin', 'spectinomycin', 'streptomycin', 'tetracycline', 'tobramycin', 'oxacillin', 'ceftazidime', 'ertapenem', 'piperacillin', 'penicillin beta-lactam', 'novobiocin', 'azithromycin', 'rifampin', 'imipenem', 'chloramphenicol', 'polymyxin B1', 'polymyxin B2', 'polymyxin B3', 'polymyxin B4', 'ampicillin', 'nalidixic acid', 'norfloxacin', 'cefalotin', 'triclosan', 'ticarcillin']	['macrolide antibiotic', 'macrolide antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'tetracycline antibiotic', 'tetracycline antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'aminocoumarin antibiotic', 'rifamycin antibiotic', 'phenicol antibiotic', 'disinfecting agents and antiseptics']	multidrug
gi:724471628:gb:AIY26267.1:|FEATURES|TolC|multidrug|TolC	3000237	deeparg	Loose	['erythromycin', 'cloxacillin', 'gentamicin C', 'tigecycline', 'cephalosporin', 'ciprofloxacin', 'spectinomycin', 'streptomycin', 'tetracycline', 'tobramycin', 'oxacillin', 'ceftazidime', 'ertapenem', 'piperacillin', 'penicillin beta-lactam', 'novobiocin', 'azithromycin', 'rifampin', 'imipenem', 'chloramphenicol', 'polymyxin B1', 'polymyxin B2', 'polymyxin B3', 'polymyxin B4', 'ampicillin', 'nalidixic acid', 'norfloxacin', 'cefalotin', 'triclosan', 'ticarcillin']	['macrolide antibiotic', 'macrolide antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'tetracycline antibiotic', 'tetracycline antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'aminocoumarin antibiotic', 'rifamycin antibiotic', 'phenicol antibiotic', 'disinfecting agents and antiseptics']	multidrug
gi:695732140:ref:WP_032658638.1:|FEATURES|sdiA|unclassified|sdiA	3000826	deeparg	Loose	['tigecycline', 'tetracycline', 'rifampin', 'chloramphenicol', 'ampicillin', 'cefalotin', 'triclosan']	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'tetracycline antibiotic', 'tetracycline antibiotic', 'rifamycin antibiotic', 'phenicol antibiotic', 'disinfecting agents and antiseptics']	unclassified
gi:487382605:ref:WP_001654865.1:|FEATURES|mdtP|multidrug|mdtP	3003550	deeparg	Strict	['acriflavine', 'puromycin']	['nucleoside antibiotic', 'disinfecting agents and antiseptics']	multidrug
YP_106067|FEATURES|mexE|multidrug|mexE	3000778	deeparg	Loose	['tetracycline']	['tetracycline antibiotic']	multidrug
gi:950562188:ref:WP_057431811.1:|FEATURES|mexF|multidrug|mexF	3000777	deeparg	Strict	['tetracycline']	['tetracycline antibiotic']	multidrug
DQ519088.1.gene1.p01|FEATURES|OXA-94|beta-lactam|OXA	3001629	deeparg	Perfect	['carbapenem', 'oxacillin', 'penicillin beta-lactam']	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	beta-lactam
AAF24171|FEATURES|vatE|MLS|vatE	3002844	deeparg	Strict	['virginiamycin M1', 'madumycin II', 'griseoviridin', 'dalfopristin']	['streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic', 'streptogramin antibiotic']	MLS
gi:554685678:ref:WP_023185565.1:|FEATURES|macB|MLS|macB	3000535	deeparg	Loose	['erythromycin']	['macrolide antibiotic']	MLS
gi:1015890335:ref:WP_062865166.1:|FEATURES|macB|MLS|macB	3000535	deeparg	Loose	['erythromycin']	['macrolide antibiotic']	MLS
gi:447004719:ref:WP_001081975.1:|FEATURES|mdtE|multidrug|mdtE	3000795	deeparg	Strict	['erythromycin', 'cloxacillin', 'oxacillin', 'norfloxacin']	['macrolide antibiotic', 'fluoroquinolone antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	multidrug
gi:656016562:ref:WP_029056449.1:|FEATURES|norA|multidrug|norA	3000391	deeparg	Loose	['ciprofloxacin', 'acriflavine', 'norfloxacin']	['fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'disinfecting agents and antiseptics']	multidrug
ZP_04273511|FEATURES|class_A|beta-lactam|class_A	3002877	deeparg	Strict	['cephalosporin']	['beta-lactam antibiotic']	beta-lactam
gi:730303878:ref:WP_033978962.1:|FEATURES|tetR|tetracycline|tetR	3000819	deeparg	Strict	['erythromycin', 'cephalosporin', 'ciprofloxacin', 'tetracycline', 'ceftazidime', 'ceftriaxone', 'meropenem', 'penicillin beta-lactam', 'novobiocin', 'azithromycin', 'trimethoprim', 'chloramphenicol', 'aztreonam', 'colistin A', 'colistin B', 'ampicillin', 'nalidixic acid', 'panipenem', 'ticarcillin', 'trimethoprim-sulfamethoxazole']	['macrolide antibiotic', 'macrolide antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'tetracycline antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'aminocoumarin antibiotic', 'diaminopyrimidine antibiotic', 'diaminopyrimidine antibiotic', 'sulfonamide antibiotic', 'phenicol antibiotic']	tetracycline
gi:966358723:ref:WP_058407068.1:|FEATURES|class_C|beta-lactam|class_C	3008180	deeparg	Strict	['cephalosporin']	['beta-lactam antibiotic']	beta-lactam
gi:1031652761:gb:ANG23007.1:|FEATURES|TEM-1|beta-lactam|TEM	3000873	deeparg	Strict	['monobactam', 'cephalosporin', 'cefazolin', 'amoxicillin', 'penicillin beta-lactam', 'ampicillin', 'cefalotin']	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	beta-lactam
gi:745761480:ref:WP_039060165.1:|FEATURES|TolC|multidrug|TolC	3000237	deeparg	Strict	['erythromycin', 'cloxacillin', 'gentamicin C', 'tigecycline', 'cephalosporin', 'ciprofloxacin', 'spectinomycin', 'streptomycin', 'tetracycline', 'tobramycin', 'oxacillin', 'ceftazidime', 'ertapenem', 'piperacillin', 'penicillin beta-lactam', 'novobiocin', 'azithromycin', 'rifampin', 'imipenem', 'chloramphenicol', 'polymyxin B1', 'polymyxin B2', 'polymyxin B3', 'polymyxin B4', 'ampicillin', 'nalidixic acid', 'norfloxacin', 'cefalotin', 'triclosan', 'ticarcillin']	['macrolide antibiotic', 'macrolide antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'tetracycline antibiotic', 'tetracycline antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'aminocoumarin antibiotic', 'rifamycin antibiotic', 'phenicol antibiotic', 'disinfecting agents and antiseptics']	multidrug
CAI43343|FEATURES|chloramphenicol_exporter|phenicol|chloramphenicol_exporter	3002694	deeparg	Strict	['chloramphenicol']	['phenicol antibiotic']	phenicol
AF099139.1.gene1.p01|FEATURES|IND-1|beta-lactam|IND	3002256	deeparg	Perfect	['carbapenem']	['beta-lactam antibiotic']	beta-lactam
gi:727197287:ref:WP_033658847.1:|FEATURES|class_A|beta-lactam|class_A	3002877	deeparg	Strict	['cephalosporin']	['beta-lactam antibiotic']	beta-lactam
gi:556479739:ref:WP_023331319.1:|FEATURES|TolC|multidrug|TolC	3000237	deeparg	Loose	['erythromycin', 'cloxacillin', 'gentamicin C', 'tigecycline', 'cephalosporin', 'ciprofloxacin', 'spectinomycin', 'streptomycin', 'tetracycline', 'tobramycin', 'oxacillin', 'ceftazidime', 'ertapenem', 'piperacillin', 'penicillin beta-lactam', 'novobiocin', 'azithromycin', 'rifampin', 'imipenem', 'chloramphenicol', 'polymyxin B1', 'polymyxin B2', 'polymyxin B3', 'polymyxin B4', 'ampicillin', 'nalidixic acid', 'norfloxacin', 'cefalotin', 'triclosan', 'ticarcillin']	['macrolide antibiotic', 'macrolide antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'tetracycline antibiotic', 'tetracycline antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'aminocoumarin antibiotic', 'rifamycin antibiotic', 'phenicol antibiotic', 'disinfecting agents and antiseptics']	multidrug
gi:493872994:ref:WP_006819444.1:|FEATURES|mdtH|multidrug|mdtH	3001216	deeparg	Loose	['enoxacin', 'norfloxacin']	['fluoroquinolone antibiotic', 'fluoroquinolone antibiotic']	multidrug
gi:307606148:emb:CBI42519.1:|FEATURES|ykkC|multidrug|ykkC	3003063	deeparg	Loose	['streptomycin', 'tetracycline', 'chloramphenicol']	['aminoglycoside antibiotic', 'tetracycline antibiotic', 'phenicol antibiotic']	multidrug
gi:920477870:ref:WP_052992011.1:|FEATURES|TolC|multidrug|TolC	3000237	deeparg	Strict	['erythromycin', 'cloxacillin', 'gentamicin C', 'tigecycline', 'cephalosporin', 'ciprofloxacin', 'spectinomycin', 'streptomycin', 'tetracycline', 'tobramycin', 'oxacillin', 'ceftazidime', 'ertapenem', 'piperacillin', 'penicillin beta-lactam', 'novobiocin', 'azithromycin', 'rifampin', 'imipenem', 'chloramphenicol', 'polymyxin B1', 'polymyxin B2', 'polymyxin B3', 'polymyxin B4', 'ampicillin', 'nalidixic acid', 'norfloxacin', 'cefalotin', 'triclosan', 'ticarcillin']	['macrolide antibiotic', 'macrolide antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'tetracycline antibiotic', 'tetracycline antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'aminocoumarin antibiotic', 'rifamycin antibiotic', 'phenicol antibiotic', 'disinfecting agents and antiseptics']	multidrug
gi:896000765:ref:WP_049067803.1:|FEATURES|adeB|multidrug|adeB	3000775	deeparg	Strict	['tigecycline', 'tetracycline']	['tetracycline antibiotic', 'tetracycline antibiotic']	multidrug
gi:487391485:ref:WP_001662771.1:|FEATURES|mdtF|multidrug|mdtF	3000796	deeparg	Strict	['erythromycin', 'cloxacillin', 'oxacillin', 'norfloxacin']	['macrolide antibiotic', 'fluoroquinolone antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	multidrug
gi:60392649:sp:O54281.1:MECI_STASR|FEATURES|mecI|beta-lactam|mecI	3000124	deeparg	Strict	['methicillin', 'penicillin beta-lactam']	['beta-lactam antibiotic', 'beta-lactam antibiotic']	beta-lactam
gi:896501912:ref:WP_049409560.1:|FEATURES|metallo-beta-lactamase|beta-lactam|metallo-beta-lactamase	3000582	deeparg	Loose	['cephalosporin']	['beta-lactam antibiotic']	beta-lactam
gi:980509810:ref:WP_059358358.1:|FEATURES|TolC|multidrug|TolC	3000237	deeparg	Loose	['erythromycin', 'cloxacillin', 'gentamicin C', 'tigecycline', 'cephalosporin', 'ciprofloxacin', 'spectinomycin', 'streptomycin', 'tetracycline', 'tobramycin', 'oxacillin', 'ceftazidime', 'ertapenem', 'piperacillin', 'penicillin beta-lactam', 'novobiocin', 'azithromycin', 'rifampin', 'imipenem', 'chloramphenicol', 'polymyxin B1', 'polymyxin B2', 'polymyxin B3', 'polymyxin B4', 'ampicillin', 'nalidixic acid', 'norfloxacin', 'cefalotin', 'triclosan', 'ticarcillin']	['macrolide antibiotic', 'macrolide antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'tetracycline antibiotic', 'tetracycline antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'aminocoumarin antibiotic', 'rifamycin antibiotic', 'phenicol antibiotic', 'disinfecting agents and antiseptics']	multidrug
gi:928821630:ref:WP_053882393.1:|FEATURES|mdtN|multidrug|mdtN	3003548	deeparg	Strict	['acriflavine', 'puromycin']	['nucleoside antibiotic', 'disinfecting agents and antiseptics']	multidrug
P60865|FEATURES|fosB|fosfomycin|fosB	3005100	deeparg	Strict	['fosfomycin']	['phosphonic acid antibiotic']	fosfomycin
NC_002695.1.914737.p01|FEATURES|emrA|multidrug|emrA	3000027	deeparg	Strict	['nalidixic acid']	['fluoroquinolone antibiotic']	multidrug
YP_001972437|FEATURES|metallo-beta-lactamase|beta-lactam|metallo-beta-lactamase	3000582	deeparg	Loose	['cephalosporin']	['beta-lactam antibiotic']	beta-lactam
gi:1012702223:ref:WP_062814406.1:|FEATURES|emrA|multidrug|emrA	3004588	deeparg	Loose	['erythromycin', 'gentamicin C', 'cephalosporin', 'ciprofloxacin', 'spectinomycin', 'streptomycin', 'tobramycin', 'ceftazidime', 'ertapenem', 'piperacillin', 'azithromycin', 'imipenem', 'polymyxin B1', 'polymyxin B2', 'polymyxin B3', 'polymyxin B4', 'norfloxacin', 'ticarcillin']	['macrolide antibiotic', 'macrolide antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'peptide antibiotic']	multidrug
ABP68837|FEATURES|qnrB|fluoroquinolone|qnrB	3002720	deeparg	Perfect	['ciprofloxacin', 'levofloxacin', 'moxifloxacin', 'gatifloxacin', 'nalidixic acid', 'norfloxacin', 'sparfloxacin']	['fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic']	fluoroquinolone
gi:727711724:ref:WP_033835092.1:|FEATURES|metallo-beta-lactamase|beta-lactam|metallo-beta-lactamase	3000582	deeparg	Loose	['cephalosporin']	['beta-lactam antibiotic']	beta-lactam
AAL12234|FEATURES|fusB|fusaric-acid|fusB	3003552	deeparg	Perfect	['fusidic acid']	['fusidane antibiotic']	fusaric-acid
gi:662754041:ref:WP_030125200.1:|FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter	3002522	deeparg	Loose	['novobiocin']	['aminocoumarin antibiotic']	multidrug
gi:851905047:ref:WP_048213240.1:|FEATURES|TolC|multidrug|TolC	3000237	deeparg	Loose	['erythromycin', 'cloxacillin', 'gentamicin C', 'tigecycline', 'cephalosporin', 'ciprofloxacin', 'spectinomycin', 'streptomycin', 'tetracycline', 'tobramycin', 'oxacillin', 'ceftazidime', 'ertapenem', 'piperacillin', 'penicillin beta-lactam', 'novobiocin', 'azithromycin', 'rifampin', 'imipenem', 'chloramphenicol', 'polymyxin B1', 'polymyxin B2', 'polymyxin B3', 'polymyxin B4', 'ampicillin', 'nalidixic acid', 'norfloxacin', 'cefalotin', 'triclosan', 'ticarcillin']	['macrolide antibiotic', 'macrolide antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'fluoroquinolone antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'tetracycline antibiotic', 'tetracycline antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'aminocoumarin antibiotic', 'rifamycin antibiotic', 'phenicol antibiotic', 'disinfecting agents and antiseptics']	multidrug
CP000647.1.gene4257.p01|FEATURES|transcriptional_regulatory_protein_CpxR_cpxR|unclassified|transcriptional_regulatory_protein_CpxR_cpxR	3004054	deeparg	Loose	['neomycin', 'erythromycin', 'amikacin', 'cephalosporin', 'ciprofloxacin', 'kanamycin A', 'tetracycline', 'tobramycin', 'ceftazidime', 'ceftriaxone', 'meropenem', 'penicillin beta-lactam', 'novobiocin', 'azithromycin', 'trimethoprim', 'chloramphenicol', 'aztreonam', 'colistin A', 'colistin B', 'ampicillin', 'panipenem', 'trimethoprim-sulfamethoxazole', 'gentamicin']	['macrolide antibiotic', 'macrolide antibiotic', 'fluoroquinolone antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'aminoglycoside antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'tetracycline antibiotic', 'peptide antibiotic', 'peptide antibiotic', 'aminocoumarin antibiotic', 'diaminopyrimidine antibiotic', 'diaminopyrimidine antibiotic', 'sulfonamide antibiotic', 'phenicol antibiotic']	unclassified
YP_405948|FEATURES|mdtM|multidrug|mdtM	3001214	deeparg	Strict	['acriflavine', 'lincomycin', 'puromycin', 'chloramphenicol', 'norfloxacin']	['fluoroquinolone antibiotic', 'lincosamide antibiotic', 'nucleoside antibiotic', 'phenicol antibiotic', 'disinfecting agents and antiseptics']	multidrug
gi:447124504:ref:WP_001201760.1:|FEATURES|macA|MLS|macA	3000533	deeparg	Loose	['erythromycin']	['macrolide antibiotic']	MLS
gi:1031626545:gb:ANG10578.1:|FEATURES|TEM-1|beta-lactam|TEM	3000873	deeparg	Strict	['monobactam', 'cephalosporin', 'cefazolin', 'amoxicillin', 'penicillin beta-lactam', 'ampicillin', 'cefalotin']	['beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic', 'beta-lactam antibiotic']	beta-lactam
